amostra,valor_real,valor_predito_corrigido,abs_error,relative_error_%
amostra_1958_2779.65.csv,2779.65,2467.977823403665,311.67217659633525,11.212641037408854
amostra_3515_2651.86.csv,2651.86,2960.37311290847,308.5131129084698,11.633838623021946
amostra_0449_3101.60.csv,3101.6,3400.419393943875,298.8193939438752,9.634362714207995
amostra_3322_3512.28.csv,3512.28,3249.96765313604,262.3123468639601,7.468434944365486
amostra_0841_2759.16.csv,2759.16,3011.9918848218226,252.83188482182277,9.163364387053406
amostra_0683_1554.05.csv,1554.05,1806.708835896892,252.65883589689201,16.25808924403282
amostra_1044_2039.14.csv,2039.14,2287.4729778909245,248.33297789092444,12.178319188036351
amostra_3695_3861.30.csv,3861.3,3614.2395383981934,247.06046160180676,6.398375200108947
amostra_2917_2141.87.csv,2141.87,2378.031274407798,236.16127440779792,11.025938754816956
amostra_2874_2912.56.csv,2912.56,3148.565349122249,236.00534912224884,8.103021023506772
